aun,school_num,location_id,school_name,school_name_label,street_address,zip_code,phone_number,grade_level,grade_org,enrollment,type,type_specific,objectid,Shape__Area,Shape__Length
126515001,6533,1350,"LONGSTRETH, WILLIAM C. SCHOOL",WILLIAM C. LONGSTRETH SCHOOL,5700 WILLOWS AVE,19143,(215) 400-7870,ELEMENTARY/MIDDLE,K-8,259,1,DISTRICT,1,14109.26171875,495.397566117824
126515001,5293,5350,"MCKINLEY, WILLIAM SCHOOL",WILLIAM MCKINLEY SCHOOL,2101 N ORKNEY ST,19122,(215) 400-7440,ELEMENTARY/MIDDLE,K-8,275,1,DISTRICT,2,19454.24609375,609.337711759019
126515001,7521,5500,"MARSHALL, THURGOOD SCHOOL",THURGOOD MARSHALL SCHOOL,5120 N 6TH ST,19120,(215) 400-3770,ELEMENTARY/MIDDLE,K-8,551,1,DISTRICT,3,16262.0625,665.97327904459
126515001,3795,4360,KENDERTON ELEMENTARY,KENDERTON ELEMENTARY SCHOOL,1500 W ONTARIO ST,19140,(215) 400-8340,ELEMENTARY/MIDDLE,K-8,271,1,DISTRICT,4,10941.6796875,456.660212589671
226512587,,,NEW MEDINA LEARNING INSTITUTE,NEW MEDINA LEARNING INSTITUTE,"7401 LIMEKILN PIKE, 2ND FLOOR",19138,(215) 298-9994,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE,5,7896.4296875,402.808348748124
126515001,3701,5400,RICHMOND SCHOOL,RICHMOND SCHOOL,2944 BELGRADE ST,19134,(215) 400-7150,ELEMENTARY SCHOOL,K-5,332,1,DISTRICT,6,7715.890625,363.794557261422
226510020,,,NEW LIFE ALTERNATIVES CHRISTIAN ACADEMY,NEW LIFE ALTERNATIVES CHRISTIAN ACADEMY,1993-95 N 63RD ST,19151,(215) 921-6776,ELEMENTARY SCHOOL,PREK-7,,3,PRIVATE,7,419.99609375,87.963908209937
126515001,3804,1460,"ANDERSON, ADD B. SCHOOL",ADD B. ANDERSON SCHOOL,1034 S 60TH ST,19143,(215) 400-7890,ELEMENTARY/MIDDLE,K-8,318,1,DISTRICT,8,15161.22265625,564.498226896578
126513452,8205,3414,OLNEY HIGH SCHOOL,OLNEY HIGH SCHOOL,100 W DUNCANNON AVE,19120,(215) 400-9140,HIGH SCHOOL,9-12,1036,1,DISTRICT,9,45069.03515625,860.835428866219
226515412,,,WILLIAM PENN CHARTER SCHOOL,WILLIAM PENN CHARTER SCHOOL,3000 W SCHOOL HOUSE LN,19144,(215) 844-3460,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE,10,155471.01171875,1748.99315155361
126515001,5121,5390,POTTER-THOMAS SCHOOL,POTTER-THOMAS SCHOOL,3001 N 6TH ST,19133,(215) 400-7120,ELEMENTARY/MIDDLE,K-8,341,1,DISTRICT,11,25888.94140625,658.777165293065
100510000,7744,3364,FIRST PHILADELPHIA CHARTER,FIRST PHILADELPHIA PREPARATORY CHARTER SCHOOL,4300 TACONY ST,19124,(215) 743-3100,ELEMENTARY/MIDDLE/HIGH,K-12,1880,2,CHARTER,12,45133.98046875,1074.90155764382
126511530,,,FREIRE CHARTER SCHOOL,FREIRE CHARTER SCHOOL,1026 MARKET ST,19107,(267) 670-7499,MIDDLE SCHOOL,5-8,,2,CHARTER,13,4441.63671875,267.302071859491
126515001,7813,6090,RANDOLPH TECHNICAL HIGH SCHOOL,A. PHILIP RANDOLPH CAREER AND TECHNICAL HIGH SCHOOL,3101 HENRY AVE,19129,(215) 400-3840,HIGH SCHOOL,9-12,403,1,DISTRICT,14,58932.38671875,1023.77708565691
226518302,,,ST JOSEPH'S PREPARATORY SCHOOL,ST JOSEPH'S PREPARATORY SCHOOL,1733 W GIRARD AVE,19130,(215) 978-1950,HIGH SCHOOL,9-12,,3,PRIVATE,15,29945.7109375,778.811011463639
226511922,,,GREATER HOPE CHRISTIAN ACADEMY,GREATER HOPE CHRISTIAN ACADEMY,7029 WOODLAND AVE,19142,(215) 729-0374,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE,16,2056.3984375,226.203952191287
126515001,3849,5020,"EDISON, THOMAS A. HIGH SCHOOL",THOMAS A. EDISON HIGH SCHOOL,151 W LUZERNE ST,19140,(215) 400-3900,HIGH SCHOOL,9-12,1022,1,DISTRICT,17,162866.1328125,1632.97925889045
126515001,7253,8120,CASTOR GARDENS MIDDLE SCHOOL,CASTOR GARDENS MIDDLE SCHOOL,1800 COTTMAN AVE,19111,(215) 400-3190,MIDDLE SCHOOL,6-8,1340,1,DISTRICT,18,23324.35546875,687.986788333999
126515001,3620,2240,"BREGY, F. AMEDEE SCHOOL",F. AMEDEE BREGY SCHOOL,1700 BIGLER ST,19145,(215) 400-8210,ELEMENTARY/MIDDLE,K-8,244,1,DISTRICT,19,18116.6640625,542.034206217004
126515001,3663,1490,"BLANKENBURG, RUDOLPH SCHOOL",RUDOLPH BLANKENBURG SCHOOL,4600 W GIRARD AVE,19131,(215) 400-7280,ELEMENTARY/MIDDLE,K-8,228,1,DISTRICT,20,22231.4921875,719.049512651571
126510021,7857,3384,FOLK ARTS CULTURAL TREASURES,FOLK ARTS-CULTURAL TREASURES CHARTER SCHOOL,1023 CALLOWHILL ST,19123,(215) 569-2600,ELEMENTARY/MIDDLE,K-8,497,2,CHARTER,21,3873.7265625,267.834526028227
126515001,3797,7360,"MARSHALL, JOHN SCHOOL",JOHN MARSHALL SCHOOL,4500 GRISCOM ST,19124,(215) 400-3950,ELEMENTARY SCHOOL,K-5,243,1,DISTRICT,22,5588.9765625,307.722010989827
126513510,7683,3341,INDEPENDENCE CHARTER SCHOOL,INDEPENDENCE CHARTER SCHOOL,1600 LOMBARD ST,19146,(215) 238-8000,ELEMENTARY/MIDDLE,K-8,833,2,CHARTER,23,5864.55859375,328.692267071286
126513290,7588,3323,MASTERY CHARTER AT HARDY WILLIAMS,MASTERY CHARTER SCHOOL AT HARDY WILLIAMS,5400 WARRINGTON AVE,19143,(215) 724-2343,ELEMENTARY/MIDDLE/HIGH,K-12,1211,2,CHARTER,24,20050.5859375,581.930272892648
126515001,3615,1420,"WASHINGTON, MARTHA SCHOOL",MARTHA WASHINGTON SCHOOL,766 N 44TH ST,19104,(215) 400-7770,ELEMENTARY/MIDDLE,K-8,213,1,DISTRICT,25,21918.296875,594.396304404918
126515001,3684,5210,"BROWN, HENRY A. SCHOOL",HENRY A. BROWN SCHOOL,1946 E SERGEANT ST,19125,(215) 400-7490,ELEMENTARY/MIDDLE,K-8,319,1,DISTRICT,26,6623.4609375,343.380398753321
126515001,3657,2690,"TAGGART, JOHN H. SCHOOL",JOHN H. TAGGART SCHOOL,400 W PORTER ST,19148,(215) 400-8290,ELEMENTARY/MIDDLE,K-8,485,1,DISTRICT,27,13423.6171875,475.086337713154
226518662,,,ST MALACHY SCHOOL,ST MALACHY SCHOOL,1012 W THOMPSON ST,19122,(215) 232-0696,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,28,18729.0234375,568.503516409168
126515001,6535,1380,"MORTON, THOMAS G. SCHOOL",THOMAS G. MORTON SCHOOL,2501 S 63RD ST,19142,(215) 400-8160,ELEMENTARY SCHOOL,K-5,363,1,DISTRICT,29,7951.6953125,359.041389743952
126515001,3742,7300,"HOPKINSON, FRANCIS SCHOOL",FRANCIS HOPKINSON SCHOOL,4001 L ST,19124,(215) 400-3970,ELEMENTARY/MIDDLE,K-8,547,1,DISTRICT,30,15251.640625,542.984669376169
326510060,,,HOPE PARTNERSHIP FOR EDUCATION,HOPE PARTNERSHIP FOR EDUCATION,2601 N 11TH ST,19133,(215) 232-5410,MIDDLE SCHOOL,5-8,,3,PRIVATE,31,4333.8671875,272.361775729736
126519476,8206,3419,LINDLEY ACADEMY CHARTER @ BIRNEY,GENERAL DAVID B BIRNEY CHARTER SCHOOL,900 LINDLEY AVE,19141,(215) 456-3000,ELEMENTARY/MIDDLE,K-8,721,2,CHARTER,32,12630.265625,523.308644564846
126515001,3611,1360,"MC MICHAEL, MORTON SCHOOL",MORTON MCMICHAEL SCHOOL,3543 FAIRMOUNT AVE,19104,(215) 400-7750,ELEMENTARY/MIDDLE,K-8,286,1,DISTRICT,33,19929.44921875,564.691618573668
226519042,,,ST ANTHONY OF PADUA REGIONAL CATHOLIC SCHOOL,ST ANTHONY OF PADUA REGIONAL CATHOLIC SCHOOL,913 PIERCE ST,19148,(215) 468-0353,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,34,493.51171875,88.9359784652299
226517510,,,CITY SCHOOL AT FAIRMOUNT,THE CITY SCHOOL AT FAIRMOUNT,860 N 24TH ST,19130,(215) 769-5363,ELEMENTARY SCHOOL,K-5,,3,PRIVATE,35,2611.24609375,204.897931558287
